编号,上级编号,回溯路径,级别,名称,简称,拼音,省份,省份简称,省份拼音,城市,城市简称,城市拼音,区县,区县简称,区县拼音,简拼,首字母,区号,邮编,经度,纬度,类型,特别提示
100000,0,,0,中国,中国,China,,,,,,,,,,CN,C,,,116.3683244,39.915085,行政区,
110000,100000,110000,1,北京,北京,Beijing,北京,北京,Beijing,,,,,,,BJ,B,,,116.405285,39.904989,行政区,
110100,110000,"110000,110100",2,北京市,北京,Beijing,北京,北京,Beijing,北京市,北京,Beijing,,,,BJ,B,010,100000,116.405285,39.904989,行政区,直辖市
110101,110100,"110000,110100,110101",3,东城区,东城,Dongcheng,北京,北京,Beijing,北京市,北京,Beijing,东城区,东城,Dongcheng,DC,D,010,100000,116.41005,39.93157,行政区,
110102,110100,"110000,110100,110102",3,西城区,西城,Xicheng,北京,北京,Beijing,北京市,北京,Beijing,西城区,西城,Xicheng,XC,X,010,100000,116.36003,39.9305,行政区,
110105,110100,"110000,110100,110105",3,朝阳区,朝阳,Chaoyang,北京,北京,Beijing,北京市,北京,Beijing,朝阳区,朝阳,Chaoyang,CY,C,010,100000,116.48548,39.9484,行政区,
110106,110100,"110000,110100,110106",3,丰台区,丰台,Fengtai,北京,北京,Beijing,北京市,北京,Beijing,丰台区,丰台,Fengtai,FT,F,010,100000,116.28625,39.8585,行政区,
110107,110100,"110000,110100,110107",3,石景山区,石景山,Shijingshan,北京,北京,Beijing,北京市,北京,Beijing,石景山区,石景山,Shijingshan,SJS,S,010,100000,116.2229,39.90564,行政区,
110108,110100,"110000,110100,110108",3,海淀区,海淀,Haidian,北京,北京,Beijing,北京市,北京,Beijing,海淀区,海淀,Haidian,HD,H,010,100000,116.29812,39.95931,行政区,
110109,110100,"110000,110100,110109",3,门头沟区,门头沟,Mentougou,北京,北京,Beijing,北京市,北京,Beijing,门头沟区,门头沟,Mentougou,MTG,M,010,102300,116.10137,39.94043,行政区,
110111,110100,"110000,110100,110111",3,房山区,房山,Fangshan,北京,北京,Beijing,北京市,北京,Beijing,房山区,房山,Fangshan,FS,F,010,102400,116.14257,39.74786,行政区,
110112,110100,"110000,110100,110112",3,通州区,通州,Tongzhou,北京,北京,Beijing,北京市,北京,Beijing,通州区,通州,Tongzhou,TZ,T,010,101100,116.65716,39.90966,行政区,
110113,110100,"110000,110100,110113",3,顺义区,顺义,Shunyi,北京,北京,Beijing,北京市,北京,Beijing,顺义区,顺义,Shunyi,SY,S,010,101300,116.65417,40.1302,行政区,
110114,110100,"110000,110100,110114",3,昌平区,昌平,Changping,北京,北京,Beijing,北京市,北京,Beijing,昌平区,昌平,Changping,CP,C,010,102200,116.2312,40.22072,行政区,
110115,110100,"110000,110100,110115",3,大兴区,大兴,Daxing,北京,北京,Beijing,北京市,北京,Beijing,大兴区,大兴,Daxing,DX,D,010,102600,116.34149,39.72668,行政区,
110116,110100,"110000,110100,110116",3,怀柔区,怀柔,Huairou,北京,北京,Beijing,北京市,北京,Beijing,怀柔区,怀柔,Huairou,HR,H,010,101400,116.63168,40.31602,行政区,
110117,110100,"110000,110100,110117",3,平谷区,平谷,Pinggu,北京,北京,Beijing,北京市,北京,Beijing,平谷区,平谷,Pinggu,PG,P,010,101200,117.12133,40.14056,行政区,
